Usuario,Año,NumPreguntas,TotalRespuestas,TotalComentarios,MediaRespuestas,MaxRespuestas
Wilberth Loría,2018,1,1,0,1.0,1
José Antonio,2018,1,1,0,1.0,1
Luis Quesada Romero,2018,2,2,11,1.0,1
Jorge Fernandez,2018,3,2,4,0.67,1
Jason0495,2018,7,7,24,1.0,2
Samuel Reyes,2018,1,2,1,2.0,2
GUILLE MAX,2018,1,1,0,1.0,1
Charlie,2018,2,2,3,1.0,1
Johander,2018,1,1,2,1.0,1
Rubén Díaz,2018,2,1,10,0.5,1
josedan10,2018,1,1,2,1.0,1
Marjorie Garcia,2018,1,1,0,1.0,1
Erik Shasha,2018,3,5,20,1.67,3
Raúl Vizarreta,2018,1,0,4,0.0,0
Frnk,2018,10,17,21,1.7,4
Dohko19,2018,19,28,46,1.47,5
EvaMGG,2018,1,0,2,0.0,0
Xiomara González Barboza,2018,1,2,4,2.0,2
Juan Carrizo,2018,1,0,3,0.0,0
JBQ,2018,1,3,3,3.0,3
marvin,2018,1,0,2,0.0,0
Col Cli,2018,1,1,1,1.0,1
Jose Antonio Nuñez Sanchez,2018,1,0,2,0.0,0
FerGuy,2018,2,1,6,0.5,1
Gabriel Mation,2018,6,5,33,0.83,1
Garyplay,2018,2,3,1,1.5,2
Cesar López,2018,1,1,1,1.0,1
Cpp,2018,2,2,1,1.0,1
Joel Medrano,2018,1,1,0,1.0,1
El Gato Curioso,2018,1,1,4,1.0,1
Isaac Perez,2018,2,2,0,1.0,1
Cristian Martinez,2018,1,0,0,0.0,0
J.newbie,2018,6,6,5,1.0,2
JUAN GERARDO HERNANDEZ NARVAEZ,2018,1,1,1,1.0,1
Santiago Sanchez,2018,1,1,1,1.0,1
Roberto Varas,2018,1,1,1,1.0,1
Ragnar,2019,4,9,15,2.25,3
Jose M Herrera V,2019,27,26,70,0.96,3
El Tío,2019,1,0,7,0.0,0
Csc99,2019,1,1,3,1.0,1
Sergio Alcalde,2019,5,8,12,1.6,3
miguel andres zuñiga romero,2019,5,6,14,1.2,3
Frank Córdoba,2019,1,1,0,1.0,1
Flakk,2019,2,2,0,1.0,1
DC Cortes,2019,1,1,0,1.0,1
BugsAreEverywhere,2019,4,4,7,1.0,2
mperez,2019,1,1,2,1.0,1
luiscar_lcgs,2019,2,3,2,1.5,2
Marco Marichal,2019,1,1,2,1.0,1
S.G.,2019,1,2,1,2.0,2
Felipe Ramírez,2019,1,1,0,1.0,1
Isidro Mauricio Prieto,2019,1,0,5,0.0,0
ingswsm,2019,1,0,4,0.0,0
Ernesto Emmanuel Yah Lopez,2019,8,7,54,0.88,1
miguerubsk,2019,1,1,0,1.0,1
Kevin Castellanos,2019,5,4,24,0.8,2
Juan Vásquez Ventura,2019,2,1,3,0.5,1
W Aleman,2019,3,3,3,1.0,1
Guillermo Santamaría,2019,4,7,9,1.75,2
Emerson Rios,2019,3,5,4,1.67,2
Oox,2019,3,3,2,1.0,1
Eduardo Sevilla,2019,2,1,4,0.5,1
user132361,2019,2,2,8,1.0,1
PinkDemon,2019,1,1,4,1.0,1
lokitosi10,2019,1,1,4,1.0,1
Sergio Gonzales,2019,1,1,0,1.0,1
DrwinDvid,2019,1,2,1,2.0,2
Ricardo Roa,2019,7,13,23,1.86,3
soraya,2019,1,2,5,2.0,2
VewixxPlayer YT,2019,1,1,2,1.0,1
dansan,2019,1,2,1,2.0,2
David Carneros,2019,1,1,1,1.0,1
Kilian,2019,3,6,4,2.0,3
Rescobar,2019,1,2,1,2.0,2
aRoldan,2019,1,1,2,1.0,1
Alexpradag,2019,1,1,3,1.0,1
SoulDroide,2019,1,1,1,1.0,1
Angel Daniel,2019,1,1,1,1.0,1
cccc,2019,1,1,1,1.0,1
Pablo Xavier,2019,1,1,0,1.0,1
user78222,2019,1,1,0,1.0,1
NanoH,2019,1,1,1,1.0,1
Alberte E,2019,1,1,3,1.0,1
Alee,2019,1,1,1,1.0,1
Sergio P,2019,1,1,0,1.0,1
David Nuñez,2020,2,2,4,1.0,1
Gerardo Topete,2020,12,17,47,1.42,3
BrianAdamo,2020,1,3,2,3.0,3
Nombre Apellido,2020,1,1,1,1.0,1
Henry 14,2020,1,0,3,0.0,0
Deyner De La Cruz,2020,2,3,0,1.5,2
an-tet,2020,4,3,1,0.75,1
larry_82,2020,1,1,6,1.0,1
Henriquez10,2020,1,1,1,1.0,1
Snchz Eder,2020,2,0,7,0.0,0
Aitor Gonzalez,2020,3,4,3,1.33,2
memezhukulento,2020,4,2,28,0.5,1
Sergio Ramirez Aguilar,2020,1,0,2,0.0,0
Laisha Vanessa Contreras Rodri,2020,1,1,3,1.0,1
YARLY KATERY MADRID IDARRAGA,2020,1,2,0,2.0,2
Juan Cezar,2020,1,2,0,2.0,2
tier 1,2020,3,1,7,0.33,1
Juan Zamorano,2020,1,1,0,1.0,1
manueliciouss,2020,3,2,14,0.67,1
user165634,2020,1,1,1,1.0,1
ANA LAURA LEZAMA SANCHEZ,2020,1,1,0,1.0,1
Luis Quesada,2020,1,1,1,1.0,1
Neji Shackter,2020,1,1,1,1.0,1
Angie Costilla,2020,3,4,5,1.33,2
Edison,2020,1,1,0,1.0,1
Miguel Navarro,2020,1,1,0,1.0,1
Jorge Antezana,2020,2,4,1,2.0,3
soledad,2020,1,2,2,2.0,2
Felix A Castillo,2020,1,0,3,0.0,0
Jhonnatan Avila,2020,1,1,1,1.0,1
Guillermo Stizza,2020,3,7,4,2.33,4
el_medusin,2020,3,4,4,1.33,3
fucions,2020,1,1,2,1.0,1
Spooky,2020,1,1,2,1.0,1
Shiny Bulbasaur,2020,1,0,3,0.0,0
Marcelo Avendaño,2020,1,1,0,1.0,1
Efredis Lopez,2020,1,2,1,2.0,2
Simón,2020,2,3,2,1.5,2
Agustin Ruiz Pastorino,2020,1,0,3,0.0,0
Diana Florysen,2020,1,0,1,0.0,0
Jose_Silva,2020,3,3,2,1.0,1
Mateo,2020,7,6,11,0.86,1
Marco Ycaza Lengua,2020,1,1,7,1.0,1
Israel Martinez,2020,1,1,2,1.0,1
Nano Avalos,2020,1,0,0,0.0,0
Milena Torres,2020,1,0,0,0.0,0
Mark Elon Gates Bezos,2020,4,5,5,1.25,2
newuserFrom,2020,1,2,0,2.0,2
Jhonatan Valencia Arango,2020,1,1,0,1.0,1
Ignacio Fuentes,2020,4,3,18,0.75,1
P. Garcìa,2020,1,1,1,1.0,1
IsRael_tORRES,2020,3,4,3,1.33,2
kalydev,2020,1,0,0,0.0,0
user201232,2020,1,1,1,1.0,1
Aaron Acosta,2020,1,2,0,2.0,2
Fernando abel,2020,1,1,1,1.0,1
ManuEl,2020,1,1,1,1.0,1
Daniel Saul Vergara Chamaidan,2020,1,2,0,2.0,2
Pipe_Molly,2020,4,7,5,1.75,4
ADrake,2020,1,1,0,1.0,1
Angelo Aguilar,2021,17,16,41,0.94,2
Deni,2021,2,1,7,0.5,1
Ramiro Barone,2021,2,3,8,1.5,2
Renny,2021,2,2,0,1.0,1
RobertoMilan,2021,1,2,0,2.0,2
Ricard,2021,1,1,5,1.0,1
Rob Aberan,2021,3,3,0,1.0,1
ventusfire OP,2021,1,0,5,0.0,0
Simuy.B,2021,1,0,4,0.0,0
Adrián Fernández,2021,5,3,5,0.6,2
johanna Guerrero,2021,3,1,7,0.33,1
Jose Colin,2021,11,11,23,1.0,2
scorpions,2021,2,2,18,1.0,1
johann tous,2021,1,1,0,1.0,1
felipe herrera arteaga,2021,2,2,7,1.0,2
Alexion Dark,2021,1,1,3,1.0,1
user146273,2021,1,2,4,2.0,2
trekkier doe,2021,1,1,0,1.0,1
RJSP,2021,1,1,3,1.0,1
user226167,2021,1,1,2,1.0,1
Oscar Corleto Soto,2021,1,0,3,0.0,0
Sebastian Mostazo,2021,3,2,3,0.67,1
pepeargento,2021,3,4,2,1.33,2
Enzo Calderón,2021,4,1,5,0.25,1
Sebastián Brizuela,2021,4,4,9,1.0,2
L R,2021,8,10,5,1.25,2
alan smith,2021,3,4,3,1.33,2
W Aleman,2021,4,3,6,0.75,1
María Román,2021,1,0,0,0.0,0
yonky,2021,1,2,7,2.0,2
Maverickwm,2021,1,0,3,0.0,0
Martin Casas,2021,1,0,0,0.0,0
Kraken,2021,1,1,4,1.0,1
Abelardo CM,2021,1,1,2,1.0,1
Carlos Francisco Aguilar,2021,1,0,2,0.0,0
Francisco Giménez,2021,1,2,0,2.0,2
Alejandro Ortiz Perdomo,2021,1,0,5,0.0,0
Ruben Garcia-Arias,2021,1,1,4,1.0,1
Jmg,2021,1,0,2,0.0,0
Cecilia4585,2021,1,2,1,2.0,2
sebastian aliceio,2021,3,1,6,0.33,1
sanunso76,2021,1,1,1,1.0,1
Valbuena,2021,1,1,0,1.0,1
Luke-Heller,2022,2,0,4,0.0,0
Leonardo Castellanos,2022,1,1,5,1.0,1
eze,2022,1,1,3,1.0,1
KrisPhoenix1010,2022,2,4,2,2.0,3
Alejandro Vera,2022,1,1,0,1.0,1
Dario Rodriguez,2022,8,4,11,0.5,2
edle777,2022,2,1,12,0.5,1
Mario A. Florentino,2022,1,1,1,1.0,1
Nicolás Díaz,2022,1,0,2,0.0,0
Deve,2022,1,0,2,0.0,0
DIDIER ANDRES LLANTEN VELEZ,2022,1,1,1,1.0,1
ROBERTO GRECIANO TENA,2022,2,3,3,1.5,2
Diego Andres Rojas Vera,2022,5,3,13,0.6,1
M.Frank,2022,1,1,0,1.0,1
ecorral,2022,1,0,2,0.0,0
Adam Olivo,2022,2,1,5,0.5,1
Jose Antonio RM,2022,7,7,17,1.0,2
Axekran,2022,1,0,1,0.0,0
wicho0205,2022,1,1,2,1.0,1
fernando Sandoval,2022,1,0,3,0.0,0
yani,2022,1,1,6,1.0,1
Whestt,2022,1,1,2,1.0,1
Menchaca Moto,2022,6,3,13,0.5,2
Mclovin,2022,1,1,0,1.0,1
molik,2022,1,2,2,2.0,2
Luis Pinto,2022,2,2,5,1.0,1
Camilo saldaña,2022,1,0,3,0.0,0
Jalim Vera,2022,1,0,2,0.0,0
Basaure,2022,1,1,1,1.0,1
Brayan Perez,2022,1,2,0,2.0,2
Erika,2022,1,1,4,1.0,1
Melisa Ahumada,2022,1,1,1,1.0,1
Ariel Velasco Antezana,2022,1,0,3,0.0,0
Alix Helena Ospino Mantilla,2022,1,1,0,1.0,1
Ara Tena,2022,1,1,1,1.0,1
Matiascr,2022,2,2,3,1.0,1
Machuno,2022,1,0,2,0.0,0
Noelia Caseres,2022,1,1,0,1.0,1
Excedd,2023,1,0,0,0.0,0
Agustin Cerdan,2023,1,2,2,2.0,2
Leo Godoy,2023,1,1,3,1.0,1
Juan Jose,2023,2,1,1,0.5,1
elun,2023,3,3,3,1.0,1
Kenneth Quintal,2023,3,0,2,0.0,0
Juan Caro,2023,6,6,7,1.0,2
CSH Ktimporta,2023,1,1,3,1.0,1
Gaby B,2023,1,0,0,0.0,0
J.rafael simarro,2023,3,1,9,0.33,1
Trying2Code27,2023,1,1,3,1.0,1
Maria Eugenia Ferraro,2023,2,1,0,0.5,1
Daniel Gonzalez,2023,2,2,1,1.0,2
GIAN TOMAS LACEY,2023,1,1,0,1.0,1
RD Yoel,2023,1,0,0,0.0,0
Óscar Gómez Palomares,2023,1,0,0,0.0,0
Yeison Hurtado,2023,1,2,1,2.0,2
Samuel Alcivar,2023,1,0,0,0.0,0
Emmanuel Del Rosario,2023,1,0,2,0.0,0
Nicolas980,2023,2,0,4,0.0,0
LiLi,2023,1,0,6,0.0,0
Brian RG,2023,1,0,1,0.0,0
Yoandry Castellanos,2023,2,0,0,0.0,0
Angel Hernadez,2023,1,0,1,0.0,0
Jokin,2023,1,0,1,0.0,0
gigi18,2023,1,1,2,1.0,1
Akane,2023,1,0,4,0.0,0
Microplo,2017,8,13,17,1.63,3
Boris Raul Cutos,2018,2,2,0,1.0,1
Pol,2018,1,2,0,2.0,2
Iván Rodríguez,2019,23,29,78,1.26,4
Richard,2019,45,53,107,1.18,3
Schwarz54,2019,2,3,3,1.5,2
Ailen Carreras,2019,1,0,10,0.0,0
DanaSara,2020,1,1,1,1.0,1
anubis83,2020,1,1,0,1.0,1
vdjkelly,2020,6,3,12,0.5,2
Ricardo Grijalva,2020,1,1,2,1.0,1
Shesus,2020,4,4,1,1.0,1
Dante E. Cortés Ganoza,2020,1,0,3,0.0,0
Diego Lope Loyola,2021,10,5,32,0.5,2
Rodry Gabriel,2021,1,0,2,0.0,0
Felipe Rodriguez,2021,2,1,4,0.5,1
Gran Edoy,2021,1,1,0,1.0,1
Peisou,2021,1,1,6,1.0,1
Rodrigo Medina,2021,1,1,0,1.0,1
juan jose Lotero,2021,2,3,3,1.5,2
Shirley Alarcon,2021,1,1,3,1.0,1
Hector9999,2021,3,4,7,1.33,2
Joak,2021,1,1,0,1.0,1
RaceyT,2021,1,1,0,1.0,1
Julio Jose Montaño Caraballo,2021,1,1,1,1.0,1
YisusGG,2021,1,1,2,1.0,1
Luis JM,2022,1,1,0,1.0,1
cgn91,2022,4,1,10,0.25,1
Alexander Valle,2022,4,1,12,0.25,1
SnakeJuice,2022,2,2,0,1.0,1
Kal,2022,2,2,1,1.0,1
Abraham,2022,4,4,3,1.0,2
Jackeline Estaba,2022,2,1,1,0.5,1
guido,2022,8,4,13,0.5,1
Totto,2022,2,2,5,1.0,1
Daniela Rodriguez,2022,1,1,1,1.0,1
Anthony Martinez Arellano,2022,1,1,1,1.0,1
Kevin Guzman,2022,3,0,8,0.0,0
James Fernández,2022,2,2,3,1.0,1
RamaaBK,2022,1,1,0,1.0,1
user215287,2023,1,1,1,1.0,1
Adrian,2023,13,8,17,0.62,2
IP13,2023,2,4,4,2.0,2
Ruben,2023,7,4,3,0.57,2
chipping,2023,3,3,4,1.0,1
Desarrollos-Web-Urquiza,2023,2,3,2,1.5,2
Yosmely Bermùdez,2023,3,2,0,0.67,1
myb applanificar,2023,1,0,1,0.0,0
Bryan Josue Alberto Elena,2023,1,2,0,2.0,2
David Villalba,2023,1,1,1,1.0,1
John Jairo Arroyo,2023,1,0,3,0.0,0
Taber,2015,1,4,4,4.0,4
Josefina Andrea Araya Tapia,2015,1,0,2,0.0,0
Lautaro Piacquadio,2015,1,2,4,2.0,2
Willywes,2016,1,7,5,7.0,7
Oundroni,2016,19,39,6,2.05,6
user4336,2016,1,1,0,1.0,1
Power_HR,2016,3,8,5,2.67,3
nick,2016,3,9,2,3.0,7
Cristhian Plaza,2016,2,2,11,1.0,1
juan Luna,2016,1,2,0,2.0,2
Akarin,2016,5,8,12,1.6,2
DIANGA,2016,3,3,1,1.0,2
Rafael Gonzalez,2016,1,1,1,1.0,1
refter,2016,2,3,0,1.5,2
pupoxws,2016,1,1,4,1.0,1
Jose Perez,2016,1,0,3,0.0,0
Caruso,2016,2,2,3,1.0,1
Vash,2016,1,1,0,1.0,1
Jhon Yaniro Coronel,2016,1,0,4,0.0,0
Kevin Ramirez Zavalza,2016,1,1,0,1.0,1
NPN328,2016,4,11,10,2.75,5
Jairo Carballo,2016,1,2,0,2.0,2
user942324,2016,1,3,0,3.0,3
jrodriguez,2016,1,1,1,1.0,1
Manflack,2016,1,3,1,3.0,3
Chris,2016,1,1,1,1.0,1
victorR,2016,1,1,0,1.0,1
Rodrigo Benito,2017,2,2,6,1.0,1
José Licea de Ortiz,2017,1,1,1,1.0,1
U. Busto,2017,28,38,97,1.36,3
Muriano,2017,2,8,2,4.0,5
Skyway,2017,2,3,5,1.5,2
Ohh Liberr,2017,2,3,15,1.5,2
Joe68,2017,5,7,3,1.4,2
JaviDonisio2,2017,3,5,1,1.67,3
talendguy,2017,1,1,0,1.0,1
Juan Pablo Hernandez Guzman,2017,1,0,2,0.0,0
Mariana García,2017,1,2,1,2.0,2
Apicito Diaz,2017,2,2,1,1.0,1
Jovany Hernandez,2017,2,2,2,1.0,1
Ladislao,2017,1,1,0,1.0,1
EngelArt,2017,1,1,5,1.0,1
user3004409,2017,1,1,0,1.0,1
Diego Ravera,2017,1,1,0,1.0,1
jose miguel huertas rodas,2017,2,3,6,1.5,2
Ghosting,2017,2,2,2,1.0,1
camcorp Fotocam,2017,1,1,3,1.0,1
Enrique Mora,2017,1,2,0,2.0,2
Angel Trinidad,2017,1,2,0,2.0,2
Alfacoy,2017,5,7,9,1.4,2
ADRIÁN SÁNCHEZ MEDINA,2017,1,1,0,1.0,1
Adrian F. Moreno,2017,1,2,0,2.0,2
Gustavo Ochoa,2017,1,1,2,1.0,1
Giovani Preciado Ortiz,2017,13,14,35,1.08,3
CarlosB,2017,1,0,1,0.0,0
Mateo,2017,1,1,3,1.0,1
gburu98,2017,2,2,2,1.0,1
Nanozet,2017,1,3,2,3.0,3
XMP,2017,1,1,0,1.0,1
RMustang,2017,4,6,15,1.5,3
Carlos Diaz,2017,1,2,3,2.0,2
Manuel b,2017,3,7,4,2.33,4
Miguel Olea,2017,1,0,2,0.0,0
Adrián P.L.,2017,8,8,8,1.0,1
Victor Murillo,2017,1,1,4,1.0,1
German,2017,1,1,1,1.0,1
David Arellano,2017,2,3,3,1.5,2
Eduardo Cubas,2017,1,1,3,1.0,1
Juan L,2017,1,0,5,0.0,0
Javier Ale,2017,1,1,6,1.0,1
alejandro Martinez Faci,2017,1,1,0,1.0,1
Angel Tovar Sanchez,2018,1,2,1,2.0,2
Alber1512,2018,2,2,4,1.0,1
Reynald0,2018,1,0,8,0.0,0
Ricardo Antonio Hernández,2018,1,1,7,1.0,1
Rodolfo,2018,4,4,6,1.0,2
Shorosky,2018,1,1,0,1.0,1
Juan Arias,2018,1,1,6,1.0,1
Alejandro García,2018,1,1,0,1.0,1
Rafa de Vega,2018,1,0,0,0.0,0
jadup,2018,1,1,2,1.0,1
F.Lopez,2018,4,1,14,0.25,1
Jaime Roman,2018,5,7,4,1.4,3
Victor David Chavez Moralez,2018,5,3,5,0.6,1
Ricardo Quintero,2018,1,1,1,1.0,1
Andrea Roca Diez,2018,1,1,2,1.0,1
xucosp,2018,1,1,4,1.0,1
Emerson Rios,2018,8,8,30,1.0,3
bojackhorseman99,2018,1,1,4,1.0,1
GD13,2018,1,1,5,1.0,1
zimp,2018,1,1,0,1.0,1
chubbyRick,2018,2,1,5,0.5,1
BigfooTsp,2018,7,10,3,1.43,3
user84691,2018,1,0,2,0.0,0
Dan Munoz,2018,1,0,0,0.0,0
WALIXGAM FOWX,2018,1,1,0,1.0,1
Danilo Hernández,2018,1,1,1,1.0,1
Gabriel Cortes,2018,1,2,2,2.0,2
Jose Javier Segura,2018,1,0,6,0.0,0
Carlos Alvarez,2018,1,1,1,1.0,1
Emmanuel Torres,2018,1,1,0,1.0,1
Christian Eduardo Amaya Rivas,2018,3,5,1,1.67,3
Luis Izquierdo,2018,2,2,0,1.0,1
fcento,2018,1,1,0,1.0,1
Juan Salvador,2018,1,3,0,3.0,3
Frank Veras,2018,1,0,4,0.0,0
Hernán,2018,1,1,0,1.0,1
Hafid Escobar,2018,1,1,2,1.0,1
Arielperez,2018,7,5,17,0.71,1
Andres Montenegro,2018,1,1,0,1.0,1
Francisco Muñoz,2018,1,0,3,0.0,0
Juan Diego Tupiza,2018,2,2,4,1.0,2
Marco Antonio De La Cruz,2018,1,0,2,0.0,0
Franco Falk,2018,1,1,2,1.0,1
Ivan Fontalvo,2018,2,2,4,1.0,1
Juan Diego Zamora,2018,1,1,0,1.0,1
Sauri Vega,2018,2,2,5,1.0,2
natone,2018,1,0,2,0.0,0
Brayan Marín,2018,2,3,2,1.5,2
Flowcou,2018,7,7,23,1.0,3
Santiago L Morales,2018,4,7,5,1.75,3
Souni,2018,2,3,15,1.5,2
Momo1979,2018,1,1,6,1.0,1
Yandrakirtash,2018,1,0,4,0.0,0
Felipe González,2019,4,9,6,2.25,5
Enrique A. Díaz Barrios,2019,16,15,21,0.94,2
efueyo,2019,24,29,36,1.21,4
Miguel Jacamo,2019,1,1,2,1.0,1
Santiago M.,2019,1,1,5,1.0,1
andres felipe vergara posada,2019,1,1,1,1.0,1
Erika Gomez,2019,1,0,0,0.0,0
demianrc,2019,1,0,3,0.0,0
bruno birriel,2019,1,1,0,1.0,1
Mr Archis3D,2019,2,2,2,1.0,1
Alfonso Soria Muñoz,2019,4,5,1,1.25,2
Javier A. M.,2019,1,1,2,1.0,1
ali gustavo morgado jimenez,2019,3,1,9,0.33,1
Augusto Giavedoni,2019,1,2,0,2.0,2
Alvamon6,2019,3,5,9,1.67,2
AdCerros,2019,2,3,7,1.5,2
Gabriel Aragón,2019,2,1,5,0.5,1
user126919,2019,1,1,12,1.0,1
Luis Eduardo Martinez Ocoro,2019,2,0,11,0.0,0
Esteban Santana,2019,2,2,4,1.0,1
Fabian Majuan,2019,1,0,5,0.0,0
Israel-502,2019,1,1,5,1.0,1
Torfest,2019,1,1,1,1.0,1
Edeline Frica,2019,2,2,5,1.0,1
manrrique meneses yaranga,2019,17,17,7,1.0,1
Matias Galeano,2019,1,4,1,4.0,4
ddiaz,2019,4,6,2,1.5,3
Andrés Jiménez Gómez,2019,1,1,3,1.0,1
cristiancajiaos,2019,2,3,4,1.5,2
Silvio Colman,2019,3,3,5,1.0,2
kio,2019,1,3,0,3.0,3
NovaTito,2019,1,1,0,1.0,1
P4R0DY,2019,1,0,3,0.0,0
Marcelo Herrera,2019,1,2,0,2.0,2
Diego Alameda,2019,2,3,10,1.5,3
Eduardorq,2019,1,2,7,2.0,2
Angye Lyse,2019,1,1,0,1.0,1
AVSalas,2019,1,1,3,1.0,1
BraulioMVM,2019,1,1,0,1.0,1
Mercedes,2019,1,1,0,1.0,1
Adrian,2020,22,19,34,0.86,2
Maxi Hernandez,2020,1,0,10,0.0,0
Luis Humberto Llatas Yovera,2020,1,0,0,0.0,0
Marianella Cabrera Ahumada,2020,1,1,3,1.0,1
Julio,2020,13,12,29,0.92,3
DoubleM,2020,4,5,7,1.25,2
Joan Sebastian Oviedo,2020,1,0,8,0.0,0
KrmX,2020,1,1,5,1.0,1
JuniorProg,2020,2,2,4,1.0,1
Angel Gonzalez Pena,2020,3,2,13,0.67,1
tempoalex,2020,3,3,2,1.0,1
cisco,2020,4,6,4,1.5,2
Noe7sv,2020,1,1,4,1.0,1
Angel Gonzalez,2020,1,1,2,1.0,1
Jorge Galvan,2020,1,1,3,1.0,1
Javigim29,2020,5,7,6,1.4,2
Diana Morales N,2020,2,2,9,1.0,1
wings77,2020,9,10,22,1.11,2
Mario Ortiz Jibaja,2020,1,1,1,1.0,1
Gringopel,2020,1,1,0,1.0,1
Cruz Danny,2020,1,0,2,0.0,0
enrikeco27,2020,1,2,1,2.0,2
Pamela Rojas,2020,3,3,3,1.0,1
Matias Cazas,2020,1,1,3,1.0,1
username7733459,2020,1,3,1,3.0,3
Vitri,2020,2,2,0,1.0,1
Daniel Gironás,2020,3,4,3,1.33,2
Daniel Morales,2020,22,20,66,0.91,2
Erick Jimenez Noya,2020,1,1,2,1.0,1
Leo Cruz,2020,3,3,1,1.0,1
Jhony cash,2020,3,5,10,1.67,3
allenk90,2020,1,1,0,1.0,1
EmaSnm,2020,1,1,1,1.0,1
Matias Aguilar,2020,1,1,2,1.0,1
Francisco Miguel Hernandez Mal,2020,1,0,3,0.0,0
Alejandro Ruiz,2020,2,1,4,0.5,1
Elton,2020,1,1,2,1.0,1
Luis Matias Poblet,2020,1,0,4,0.0,0
user187898,2020,1,0,4,0.0,0
Hernan Aranda Prado,2020,1,1,0,1.0,1
Emanuel Ayala Núñez,2020,3,4,3,1.33,2
fmorals,2020,1,1,2,1.0,1
kayvos,2020,3,4,7,1.33,2
Carmen,2020,1,1,0,1.0,1
gabriel,2020,29,33,45,1.14,3
DiegaShOo Benítez,2020,1,0,3,0.0,0
Diego Alonso Mantilla Meza,2020,2,2,3,1.0,1
Selegna,2020,1,1,1,1.0,1
Isaac Hernandez,2020,1,1,0,1.0,1
Eduardo Budar,2020,1,0,4,0.0,0
Adriá,2020,1,2,5,2.0,2
Javier Coque,2020,3,4,3,1.33,2
Diego Fuentes Barros,2020,1,2,2,2.0,2
CodexNigratax,2020,1,1,3,1.0,1
Nixis,2020,1,0,8,0.0,0
Juggernog,2020,1,1,3,1.0,1
Guilmor,2020,1,1,0,1.0,1
ERODRIGUEZ10,2020,2,2,1,1.0,1
magazinesusan,2020,1,0,2,0.0,0
Eduardo Tun,2020,1,0,5,0.0,0
carlos junior,2020,1,1,1,1.0,1
Gastón Vargas,2020,1,2,0,2.0,2
kuro,2020,1,1,3,1.0,1
Nael,2021,1,1,10,1.0,1
Leo_Gz,2021,1,1,0,1.0,1
Crisandru,2021,3,4,5,1.33,2
lara,2021,3,8,17,2.67,4
Nuevo Usuario,2021,61,77,115,1.26,4
